#codeDisplay		sk2001	sk2011	sk2021
#nameDisplay		Slovakia 2001	Slovakia 2011	Slovakia 2021
#isoRegionCode	SK			
#yearCollected		2001	2011	2021
#datePublished		2009	2013	2023
#populationEligible		5,379,455	5,397,036	5,449,270
#populationWithPositiveResponses		5,313,399	4,991,775	5,136,906
#notes	Census - de jure - complete tabulation			
#responsesPerIndividual	1			
#url	https://data.un.org/Data.aspx?d=POP&f=tableCode:27			
#collectorType	Government			
Language Code	Language Name	sk2001	sk2011	sk2021
mul	Total	5,379,455	5,397,036	5,449,270
slk	Slovak	4,512,217	4,240,453	4,456,102
hun	Hungarian	572,929	508,714	462,175
mis	Not stated	66,056	405,261	312,364
rom	Romany	99,448	122,518	100,526
rue/rsk	Ruthenian	54,907	55,469	38,679
ces	Czech	48,201	35,216	33,864
mul	Other	5,462	13,585	21,893
ukr	Ukrainian	7,879	5,689	7,608
deu	German	6,343	5,186	3,959
rus	Russian	1,866		4,947
pol	Polish	2,731	3,119	3,821
hbs/hrv	Croatian	988	1,234	923
hbs/srp	Serbian	411		1,229
bul	Bulgarian		132	907
heb	Jewish	17	460	273